,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song,index,year,country,artist,language,final-rank,points
0,0.498,0.231,2,-16.628,1,0.0325,0.812,0.00020099999999999998,0.0705,0.34600000000000003,134.092,audio_features,5eGnVU7C3mRbXMergmSz9Q,spotify:track:5eGnVU7C3mRbXMergmSz9Q,https://api.spotify.com/v1/tracks/5eGnVU7C3mRbXMergmSz9Q,https://api.spotify.com/v1/audio-analysis/5eGnVU7C3mRbXMergmSz9Q,222493,4,Et bonjour a toi lartiste,293.0,1975, France,Nicole Rieu,French,,
1,0.7170000000000001,0.846,0,-7.432,1,0.0394,0.0306,0.191,0.0733,0.39,124.988,audio_features,3wfawPKNIlf7M9s46ME2Q5,spotify:track:3wfawPKNIlf7M9s46ME2Q5,https://api.spotify.com/v1/tracks/3wfawPKNIlf7M9s46ME2Q5,https://api.spotify.com/v1/audio-analysis/3wfawPKNIlf7M9s46ME2Q5,243840,4,Toi,295.0,1975, Luxembourg,Geraldine,French,,
2,0.506,0.5529999999999999,0,-9.016,1,0.0292,0.03,1.08e-06,0.0698,0.467,115.819,audio_features,2wfkkb00LklyYNv4v3PcVA,spotify:track:2wfkkb00LklyYNv4v3PcVA,https://api.spotify.com/v1/tracks/2wfkkb00LklyYNv4v3PcVA,https://api.spotify.com/v1/audio-analysis/2wfkkb00LklyYNv4v3PcVA,217640,4,Dan ljubezni,298.0,1975, Yugoslavia,Pepel in kri,Slovene,,
3,0.617,0.379,0,-12.853,1,0.0305,0.44,0.0,0.13699999999999998,0.825,87.555,audio_features,6gZvvkOUTl33NDsbi3lzKr,spotify:track:6gZvvkOUTl33NDsbi3lzKr,https://api.spotify.com/v1/tracks/6gZvvkOUTl33NDsbi3lzKr,https://api.spotify.com/v1/audio-analysis/6gZvvkOUTl33NDsbi3lzKr,170600,4,Let Me Be the One,299.0,1975, United Kingdom,The Shadows,English,,
4,0.392,0.615,5,-6.403,0,0.0485,0.836,0.000143,0.213,0.348,91.999,audio_features,371nNwFetX7GVB7Po7Z1nu,spotify:track:371nNwFetX7GVB7Po7Z1nu,https://api.spotify.com/v1/tracks/371nNwFetX7GVB7Po7Z1nu,https://api.spotify.com/v1/audio-analysis/371nNwFetX7GVB7Po7Z1nu,175443,4,Seninle bir dakika,303.0,1975, Turkey,Semiha Yanki,Turkish,,
5,0.266,0.598,10,-4.362,1,0.0351,0.632,0.0,0.209,0.512,171.666,audio_features,2KYlV00chBWcckA8smxYJW,spotify:track:2KYlV00chBWcckA8smxYJW,https://api.spotify.com/v1/tracks/2KYlV00chBWcckA8smxYJW,https://api.spotify.com/v1/audio-analysis/2KYlV00chBWcckA8smxYJW,209787,4,Tu volveras,307.0,1975, Spain,Sergio  Estibaliz,Spanish,,
6,0.544,0.556,7,-11.005999999999998,1,0.0887,0.303,0.0,0.107,0.835,184.80900000000003,audio_features,0E19RAvUkhjMM0rdICkidE,spotify:track:0E19RAvUkhjMM0rdICkidE,https://api.spotify.com/v1/tracks/0E19RAvUkhjMM0rdICkidE,https://api.spotify.com/v1/audio-analysis/0E19RAvUkhjMM0rdICkidE,184733,4,Save Your Kisses for Me,310.0,1976, United Kingdom,Brotherhood of Man,English,,
7,0.456,0.597,4,-10.083,0,0.0289,0.0598,0.0026899999999999997,0.14300000000000002,0.376,145.985,audio_features,73T2aSDbeMFuIN8CvDKCrg,spotify:track:73T2aSDbeMFuIN8CvDKCrg,https://api.spotify.com/v1/tracks/73T2aSDbeMFuIN8CvDKCrg,https://api.spotify.com/v1/audio-analysis/73T2aSDbeMFuIN8CvDKCrg,170400,4,Judy et Cie,315.0,1976, Belgium,Pierre Rapsat,French,,
8,0.327,0.321,9,-17.139,1,0.0308,0.888,0.466,0.305,0.395,79.387,audio_features,401Yujbuyqr0cZqeljT4Ji,spotify:track:401Yujbuyqr0cZqeljT4Ji,https://api.spotify.com/v1/tracks/401Yujbuyqr0cZqeljT4Ji,https://api.spotify.com/v1/audio-analysis/401Yujbuyqr0cZqeljT4Ji,175823,4,When,316.0,1976, Ireland,Red Hurley,English,,
9,0.405,0.479,9,-9.362,1,0.044000000000000004,0.25,0.0,0.33899999999999997,0.48,171.826,audio_features,1QOgYW9oq5r6evWA2A4s6a,spotify:track:1QOgYW9oq5r6evWA2A4s6a,https://api.spotify.com/v1/tracks/1QOgYW9oq5r6evWA2A4s6a,https://api.spotify.com/v1/audio-analysis/1QOgYW9oq5r6evWA2A4s6a,181173,4,Sobran las palabras,321.0,1976, Spain,Braulio,Spanish,,
